Title,Organization,Content Type,URL,Publication,Person,Date Published,Topics,Content Tags,Industry,Category Classification,Asset,Source File
Attention Helping Determine Quality of an Impression,Realeyes,Interview,https://blog.realeyesit.com/attention-helping-determine-quality-of-an-impression,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-10-13,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-helping-determine-quality-of-an-impression-2026-01-16-19_23_30,Attention Helping Determine Quality of an Impression - Realeyes - Interview(my-content).md
Attention Industry Needs to Move Upstream to Content Creation,Realeyes,Interview,https://blog.realeyesit.com/attention-industry-needs-to-move-upstream-to-content-creation,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-10-06,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-industry-needs-to-move-upstream-to-content-creation-2026-01-15-17_48_55 (1),Attention Industry Needs to Move Upstream to Content Creation - Realeyes - Interview(my-content).md
Attention Measurement’s Global Footprint,Realeyes,Interview,https://blog.realeyesit.com/attention-measurements-global-footprint,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-10-07,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-measurements-global-footprint-2026-01-13-15_49_41,Attention Measurement’s Global Footprint - Realeyes - Interview(my-content).md
Attention Needs Standardization for Its Next Great Leap,Realeyes,Interview,https://blog.realeyesit.com/attention-needs-standardization-for-its-next-great-leap,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-03-03,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-needs-standardization-for-its-next-great-leap-2025-11-13-15_43_20,Attention Needs Standardization for Its Next Great Leap - Realeyes - Interview(my-content).md
Attention Strengthens Advertisers’ Contract With Audiences,Realeyes,Interview,https://blog.realeyesit.com/attention-strengthens-advertisers-contract-with-audiences,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-03-11,Digital Marketing - Marketing - Business and Economics,B2B Marketing; Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-strengthens-advertisers-contract-with-audiences-2025-11-13-15_28_05,Attention Strengthens Advertisers’ Contract With Audiences - Realeyes - Interview(my-content).md
Attention Top of Mind at ARF Summit,Realeyes,Blog,https://blog.realeyesit.com/attention-top-of-mind-at-arf-summit,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-09-16,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-top-of-mind-at-arf-summit-2026-01-16-18_36_46,Attention Top of Mind at ARF Summit - Realeyes - Blog(my-content).md
Attention as a Catalyst for Change,Realeyes,Interview,https://blog.realeyesit.com/attention-as-a-catalyst-for-change,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-11-13,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-as-a-catalyst-for-change-2026-01-14-16_31_28,Attention as a Catalyst for Change - Realeyes - Interview(my-content).md
Attention as a Proxy for Business Outcomes,Realeyes,Interview,https://blog.realeyesit.com/attention-as-a-proxy-for-business-outcomes,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-11-29,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-as-a-proxy-for-business-outcomes-2026-01-13-16_42_06,Attention as a Proxy for Business Outcomes - Realeyes - Interview(my-content).md
Attention is All About Delivering Value,Realeyes,Interview,https://blog.realeyesit.com/attention-is-all-about-delivering-value,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-01-19,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-is-all-about-delivering-value-2025-11-13-15_36_55,Attention is All About Delivering Value - Realeyes - Interview(my-content).md
Attention is the Metric We've Been Waiting for,Realeyes,Interview,https://blog.realeyesit.com/attention-is-the-metric-weve-been-waiting-for,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-10-27,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-is-the-metric-weve-been-waiting-for-2026-01-15-17_27_33,Attention is the Metric We've Been Waiting for - Realeyes - Interview(my-content).md
Attention is the Remedy for Constant Distraction,Realeyes,Interview,https://blog.realeyesit.com/attention-is-the-remedy-for-constant-distraction,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-04-28,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-is-the-remedy-for-constant-distraction-2026-01-14-17_22_04,Attention is the Remedy for Constant Distraction - Realeyes - Interview(my-content).md
Attention is the Remedy to Ad Overload,Realeyes,Interview,https://blog.realeyesit.com/attention-is-the-remedy-to-ad-overload,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-03-01,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-is-the-remedy-to-ad-overload-2026-01-14-17_08_21,Attention is the Remedy to Ad Overload - Realeyes - Interview(my-content).md
Attention: a Complex Phenomenon Whose Time is Now,Realeyes,Interview,https://blog.realeyesit.com/attention-a-complex-phenomenon-whose-time-is-now,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-03-16,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attention-a-complex-phenomenon-whose-time-is-now-2026-01-14-17_02_41,Attention- a Complex Phenomenon Whose Time is Now - Realeyes - Interview(my-content).md
Attention’s Big Moment Has Arrived,Realeyes,Interview,https://blog.realeyesit.com/attentions-big-moment-has-arrived,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-11-02,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-attentions-big-moment-has-arrived-2026-01-13-14_06_44,Attention’s Big Moment Has Arrived - Realeyes - Interview(my-content).md
Attentive Reach,Realeyes,White Paper,https://www.realeyesit.com/resources_list/attentive-reach-the-case-for-human-attention-in-brand-advertising/,Realeyesit.com,,2025-05-14,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Advertising,Total Emphasis,screencapture-realeyesit-resources-list-attentive-reach-the-case-for-human-attention-in-brand-advertising-2025-07-26-10_59_05,Attentive Reach - Realeyes - White Paper(my-content).md
Automation: the modern marketing marvel that is ready to use today,UpWave,Blog,https://customerthink.com/automation-the-modern-marketing-marvel-that-is-ready-to-use-today/,Customer Think,Jeremy O'Brien - UpWave,2025-09-24,,Automation; Marketing Automation,Adtech,Total Emphasis,UpWave Customer Think,Automation- the modern marketing marvel that is ready to use today - UpWave - Blog(my-content).md
Balancing Digital Growth and ESG Goals for the Ultimate Cloud Cost Optimization,Mobvista/Mintegral,Byline,https://martechseries.com/mts-insights/guest-authors/balancing-digital-growth-and-esg-goals-for-the-ultimate-cloud-cost-optimization/,Martech Series,Sean Song - Mobvista/Mintegral,2023-09-06,,DEI and ESG,All Tech,Total Emphasis,screencapture-martechseries-mts-insights-guest-authors-balancing-digital-growth-and-esg-goals-for-the-ultimate-cloud-cost-optimization-2026-01-15-17_14_50,Balancing Digital Growth and ESG Goals for the Ultimate Cloud Cost Optimization - Mobvista…(my-content).md
Beet.TV interview,McKinsey,LinkedIn post,https://www.linkedin.com/posts/jess-p-huang_retailmedia-retailing-ecommerce-activity-6897952837469384705-Qnzp?utm_source=share&utm_medium=member_desktop,LinkedIn,Jess Huang - YouTube,,Sales Strategy & Planning - Sales - Business and Economics,,Management Consultant,Total Emphasis,Beet TV interview,Beet.TV interview - McKinsey - LinkedIn post (my-content).md
Being a Trailblazer in Attention Creates a Competitive Advantage,Realeyes,Interview,https://blog.realeyesit.com/being-a-trailblazer-in-attention-creates-a-competitive-advantage,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-10-21,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-being-a-trailblazer-in-attention-creates-a-competitive-advantage-2025-11-13-15_35_34,Being a Trailblazer in Attention Creates a Competitive Advantage - Realeyes - Interview(my-content).md
Beyond Basics: Six Tips for an Exceptional Customer Service Strategy,IBM,Blog,https://www.ibm.com/blog/customer-service-strategy/,IBM.com,Keith O'Brien - Total Emphasis  ,2023-12-05,Customer Experience - Sales - Business and Economics,Customer Service,All Tech,Total Emphasis,screencapture-ibm-think-insights-customer-service-strategy-2026-01-13-16_37_51,Beyond Basics- Six Tips for an Exceptional Customer Service Strategy - IBM - Blog(my-content).md
Beyond Cookies: Rethinking Supply Chain Optimization in the Face of Advertising Challenges,33 Across,Byline,https://www.admonsters.com/beyond-cookies-rethinking-supply-chain-optimization-in-the-face-of-advertising-challenges/?utm_campaign=Social%20Q2%202024&utm_content=291768984&utm_medium=social&utm_source=linkedin&hss_channel=lcp-245547,Ad Monsters,Paul Bell - 33 Across,2024-05-07,,Cookieless,Adtech,Total Emphasis,screencapture-admonsters-beyond-cookies-rethinking-supply-chain-optimization-in-the-face-of-advertising-challenges-2026-01-15-17_35_45,Beyond Cookies- Rethinking Supply Chain Optimization in the Face of Advertising Challenges - 33…(my-content).md
Beyond the Hype: AI’s Real Disruption in Advertising —and What Comes Next By,UpWave,Byline,https://aijourn.com/beyond-the-hype-ais-real-disruption-in-advertising-and-what-comes-next-by/,,George London - UpWave,2025-10-02,,AI In Advertising; Generative AI; Digital Advertising; **Topic(s)**:; Artificial Intelligence Applications - Artificial Intelligence - Science & Technology; Media Buying - Marketing - Business and Economics; AdTech - Marketing - Business and Economics,,Total Emphasis,George London - AI Journal - Oct 25,Beyond the Hype- AI’s Real Disruption in Advertising —and What Comes Next By - UpWave - Byline(my-content).md
Billion-dollar Decisions at Risk: the Alarming Rise of Survey Fraud,Realeyes,Blog,https://blog.realeyesit.com/billion-dollar-decisions-at-risk-the-alarming-rise-of-survey-fraud,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-03-01,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-billion-dollar-decisions-at-risk-the-alarming-rise-of-survey-fraud-2026-01-14-20_54_08,Billion-dollar Decisions at Risk- the Alarming Rise of Survey Fraud - Realeyes - Blog(my-content).md
Binghamton Nutritionists,Sodexo,LinkedIn post,https://www.linkedin.com/posts/michael-svagdis-13909099_sodexoproud-activity-7369357855851704322-6b4n?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Michael Svagdis - ,2025-09-10,Customer Experience - Sales - Business and Economics,Food Service; Customer Experience - Sales - Business and Economics,,Total Emphasis,Binghamton Nutritionists - Svagdis,Binghamton Nutritionists - Sodexo - LinkedIn post (my-content).md
Bloomberg’s Responsible AI Research: Mitigating Risky RAGs & GenAI in Finance,Bloomberg,Blog,https://www.bloomberg.com/company/stories/bloomberg-responsible-ai-research-mitigating-risky-rags-genai-in-finance/,Bloomberg.com,Sebastian Gehrmann - Bloomberg,2025-04-28,,Responsible AI; Generative AI; RAG,All Tech,Total Emphasis,screencapture-bloomberg-company-stories-bloomberg-responsible-ai-research-mitigating-risky-rags-genai-in-finance-2025-04-28-16_49_36,Bloomberg’s Responsible AI Research- Mitigating Risky RAGs & GenAI in Finance - Bloomberg - Blog(my-content).md
Brand Strategy Deck,Oregon Association of Hospitals & Health Systems (OAHHS),Deck,,,,,Health Policy - Physical Health - Health,Hospitals,Healthcare,Total Emphasis,OAHHS_PR-Brand-Strategy_112122,Brand Strategy Deck - Oregon Association of Hospitals & Health Systems (OAHHS) - Deck(my-content).md
Brand Building Reborn: The Evolving Strategy in a Post-Cookie World,UpWave,Byline,https://www.b2bnn.com/2024/07/brand-building-reborn-the-evolving-strategy-in-a-post-cookie-world/#google_vignette,B2BNN,Joe Zahtila - UpWave,2024-07-08,,,Advertising,Total Emphasis,Brand Building Reborn_ The Evolving Strategy In A Post-Cookie World,Brand Building Reborn- The Evolving Strategy in a Post-Cookie World - UpWave - Byline(my-content).md
Brewing Local Community Vibes with Gusto in North Cape May,Gusto Brewing Co,Blog,https://www.141miles.com/theprofile-gusto-brewing/,141 Miles,,,Local Business Strategy - Business Strategy and Management - Business and Economics,Profile,Brewery / Distillery,,screencapture-141miles-theprofile-gusto-brewing-2026-01-17-10_11_07,Brewing Local Community Vibes with Gusto in North Cape May - Gusto Brewing Co - Blog(my-content).md
Bringing Our Team Together In Barcelona,Rasa,Blog,https://rasa.com/blog/bringing-our-team-together-in-barcelona,Rasa.com,,2025-11-24,,Work Tools; Return to Work/Office,,Total Emphasis,screencapture-rasa-blog-bringing-our-team-together-in-barcelona-2025-11-27-09_47_00,Bringing Our Team Together In Barcelona - Rasa - Blog(my-content).md
Building Brands In a Multi-channel Landscape,UpWave,White Paper,https://www.upwave.com/building-brands-in-a-multi-channel-landscape/,Upwave.com,Chris Kelly - UpWave,2024-08-01,Brand Strategy & Management - Marketing - Business and Economics,Brand Building; Brand Strategy & Management - Marketing - Business and Economics,Adtech,Total Emphasis,Upwave_White Paper_Building Brands in a Multi-Channel Landscape,Building Brands In a Multi-channel Landscape - UpWave - White Paper(my-content).md
Building Resilience for Protests and Civil Unrest,OnSolve,Blog,https://www.onsolve.com/blog/sra-building-resilience-protests-and-civil-unrest/,OnSolve.com,,2024-10-01,,Risk Management; Employee Experience,Management Consultant,Total Emphasis,screencapture-onsolve-blog-sra-building-resilience-protests-and-civil-unrest-2024-11-26-16_34_12,Building Resilience for Protests and Civil Unrest - OnSolve - Blog(my-content).md
Building a Martech Stack That Connects With Today’s B2b Buyers,Integrate,Blog,https://www.integrate.com/blog/pdm-book-chapter4-customer-centric-martech-stacks,Integrate.com,,2022-09-15,Digital Marketing - Marketing - Business and Economics,B2B Marketing; Tech Stacks; Digital Marketing - Marketing - Business and Economics,Marketing,Total Emphasis,How To Build a MarTech Stack for Your B2B Buyers _ Integrate,Building a Martech Stack That Connects With Today’s B2b Buyers - Integrate - Blog(my-content).md
Business Value of Generative AI,UST,Blog,https://www.ust.com/en/insights/business-value-of-generative-ai,UST.com,Adnan Masood - UST,2023-02-05,,Generative AI; Large Language Models; **Topic(s)**:; Artificial Intelligence Applications - Artificial Intelligence - Science & Technology; Product Engineering - Information Technology - Science & Technology,All Tech,Total Emphasis,screencapture-ust-en-insights-business-value-of-generative-ai-2026-01-14-15_58_51,Business Value of Generative AI - UST - Blog(my-content).md
Business of Fashion,McKinsey,LinkedIn post,https://www.linkedin.com/posts/jess-p-huang_stateoffashion2022-fashion-retail-activity-6872322440081612800-QFE3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Jess Huang - YouTube,,,Fashion; **Topic(s)**:; Sales Strategy & Planning - Sales - Business and Economics; Strategic Planning & Analysis - Business Strategy and Management - Business and Economics; Sales Process & Execution - Sales - Business and Economics,Management Consultant,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2025-03-20T18%3A06%3A19.220Z-Screenshot%202025-03-20%20at%202.06.13%E2%80%AFPM.png?alt=media&token=748688b8-a18f-426d-b540-591b9a1c2e44),Business of Fashion - McKinsey - LinkedIn post (my-content).md
